Entity,Code,Year,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: estimates
World,OWID_WRL,1950,126304100,1499041758,867732401,126304100,1499041758,867732401
World,OWID_WRL,1951,127874077,1522010566,887027434,127874077,1522010566,887027434
World,OWID_WRL,1952,129789938,1545875157,908405834,129789938,1545875157,908405834
World,OWID_WRL,1953,132153417,1570184026,931753366,132153417,1570184026,931753366
World,OWID_WRL,1954,134605062,1594545262,956729573,134605062,1594545262,956729573
World,OWID_WRL,1955,136880366,1619346101,983973023,136880366,1619346101,983973023
World,OWID_WRL,1956,139125006,1644382017,1011888694,139125006,1644382017,1011888694
World,OWID_WRL,1957,141568321,1668596995,1042438584,141568321,1668596995,1042438584
World,OWID_WRL,1958,144363556,1691935753,1074936325,144363556,1691935753,1074936325
World,OWID_WRL,1959,147197383,1715135347,1103604038,147197383,1715135347,1103604038
World,OWID_WRL,1960,149860352,1738052494,1127544524,149860352,1738052494,1127544524
World,OWID_WRL,1961,152850028,1763618930,1148386845,152850028,1763618930,1148386845
World,OWID_WRL,1962,156395576,1793668662,1173295697,156395576,1793668662,1173295697
World,OWID_WRL,1963,160302496,1825987218,1206503283,160302496,1825987218,1206503283
World,OWID_WRL,1964,164451917,1860426995,1239592903,164451917,1860426995,1239592903
World,OWID_WRL,1965,169108161,1897024298,1268384929,169108161,1897024298,1268384929
World,OWID_WRL,1966,174013800,1934880161,1295130184,174013800,1934880161,1295130184
World,OWID_WRL,1967,179017542,1975122798,1319254583,179017542,1975122798,1319254583
World,OWID_WRL,1968,184229601,2017169621,1343769017,184229601,2017169621,1343769017
World,OWID_WRL,1969,189539722,2060453567,1369478328,189539722,2060453567,1369478328
World,OWID_WRL,1970,195016708,2105874818,1393771018,195016708,2105874818,1393771018
World,OWID_WRL,1971,200588291,2151383248,1417853568,200588291,2151383248,1417853568
World,OWID_WRL,1972,206390746,2198080142,1440422390,206390746,2198080142,1440422390
World,OWID_WRL,1973,212422893,2245858146,1462497842,212422893,2245858146,1462497842
World,OWID_WRL,1974,218717961,2291650537,1486019605,218717961,2291650537,1486019605
World,OWID_WRL,1975,225166611,2336621885,1508916518,225166611,2336621885,1508916518
World,OWID_WRL,1976,231559950,2381852829,1530800927,231559950,2381852829,1530800927
World,OWID_WRL,1977,238154900,2432028142,1547645691,238154900,2432028142,1547645691
World,OWID_WRL,1978,245024621,2490314854,1556720364,245024621,2490314854,1556720364
World,OWID_WRL,1979,252002997,2550675399,1565820909,252002997,2550675399,1565820909
World,OWID_WRL,1980,258253412,2611043946,1578266061,258253412,2611043946,1578266061
World,OWID_WRL,1981,263195670,2672853068,1592682847,263195670,2672853068,1592682847
World,OWID_WRL,1982,267593878,2734799103,1610230956,267593878,2734799103,1610230956
World,OWID_WRL,1983,272017871,2798522719,1626733177,272017871,2798522719,1626733177
World,OWID_WRL,1984,277170763,2863691948,1641254340,277170763,2863691948,1641254340
World,OWID_WRL,1985,283540502,2928604403,1656735294,283540502,2928604403,1656735294
World,OWID_WRL,1986,290665854,2993560773,1673777345,290665854,2993560773,1673777345
World,OWID_WRL,1987,298201618,3058037997,1693431306,298201618,3058037997,1693431306
World,OWID_WRL,1988,306184817,3121796877,1713928857,306184817,3121796877,1713928857
World,OWID_WRL,1989,314703671,3184292992,1735347015,314703671,3184292992,1735347015
World,OWID_WRL,1990,323619713,3245527246,1758562901,323619713,3245527246,1758562901
World,OWID_WRL,1991,332665853,3305690682,1780282110,332665853,3305690682,1780282110
World,OWID_WRL,1992,341998188,3364229007,1799662126,341998188,3364229007,1799662126
World,OWID_WRL,1993,351680098,3421898128,1817863543,351680098,3421898128,1817863543
World,OWID_WRL,1994,361762418,3480588638,1833093861,361762418,3480588638,1833093861
World,OWID_WRL,1995,371721308,3541540979,1845505293,371721308,3541540979,1845505293
World,OWID_WRL,1996,381398079,3604657724,1855881874,381398079,3604657724,1855881874
World,OWID_WRL,1997,391326983,3670368030,1862965924,391326983,3670368030,1862965924
World,OWID_WRL,1998,401296935,3737691627,1867940377,401296935,3737691627,1867940377
World,OWID_WRL,1999,411254793,3805573012,1872028989,411254793,3805573012,1872028989
World,OWID_WRL,2000,421660837,3874874234,1875006212,421660837,3874874234,1875006212
World,OWID_WRL,2001,432645197,3945540185,1876577366,432645197,3945540185,1876577366
World,OWID_WRL,2002,444024327,4017123997,1876397658,444024327,4017123997,1876397658
